timestamp,c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713513081,21.57664,48.39246,19.94,1000.66,40.77,22.56397,74.6273
1713513091,21.54726,48.37568,19.94,1000.68,40.70,22.64454,74.92027
1713513101,21.54726,48.27954,19.93,1000.70,40.68,22.56397,75.01945
1713513111,21.53391,48.24598,19.94,1000.72,40.82,22.72511,75.04387
1713513121,21.54726,48.24598,19.94,1000.72,40.72,22.72511,75.01945
1713513131,21.54726,48.27954,19.94,1000.72,40.81,22.64454,74.94469
1713513141,21.54726,48.23377,19.93,1000.76,40.95,22.64454,74.87144
1713513151,21.56329,48.2475,19.92,1000.71,40.88,22.72511,74.82262
1713513161,21.53391,48.25513,19.93,1000.78,40.91,22.64454,74.72495
1713513171,21.54726,48.23377,19.94,1000.79,40.62,22.56397,74.70054
1713513181,21.56329,48.2002,19.93,1000.84,40.87,22.56397,74.70054
1713513191,21.53391,48.22004,19.92,1000.80,40.70,22.64454,74.65171
1713513201,21.53391,48.18647,19.94,1000.85,40.75,22.72511,74.6273
1713513211,21.53391,48.18647,19.93,1000.84,40.80,22.56397,74.6273
1713513221,21.54726,48.22309,19.93,1000.89,40.85,22.56397,74.6273
1713513231,21.54726,48.23377,19.94,1000.87,40.86,22.64454,74.60288
1713513241,21.54726,48.23377,19.94,1000.79,40.74,22.72511,74.55405
1713513251,21.53391,48.26886,19.92,1000.77,40.40,22.56397,74.6273
1713513261,21.54726,48.29328,19.95,1000.78,40.61,22.56397,74.6273
1713513271,21.53391,48.20935,19.93,1000.73,40.78,22.64454,74.6273
1713513281,21.54726,48.10406,19.94,1000.79,40.74,22.64454,74.30991
1713513291,21.52056,48.13611,19.92,1000.77,40.39,22.64454,74.6273
1713513301,21.56329,48.15137,19.91,1000.83,40.64,22.72511,74.6273
1713513311,21.54726,48.06744,19.92,1000.78,40.79,22.64454,74.77378
1713513321,21.53391,48.00488,19.92,1000.84,40.59,22.64454,74.77378
1713513331,21.56329,47.97589,19.92,1000.74,40.36,22.80568,74.84703
1713513341,21.54726,47.93621,19.93,1000.72,40.38,22.64454,74.89586
1713513351,21.54726,47.96216,19.92,1000.80,40.64,22.64454,74.9691
1713513361,21.54726,47.92553,19.92,1000.71,40.65,22.72511,75.01945
1713513371,21.54726,47.93621,19.93,1000.73,40.61,22.72511,75.04387
1713513381,21.56329,47.98657,19.94,1000.71,40.58,22.72511,75.01945
1713513391,21.54726,47.94995,19.94,1000.80,40.62,22.80568,75.0927
1713513401,21.56329,48.04608,19.95,1000.70,40.51,22.64454,75.14153
1713513411,21.56329,48.10559,19.94,1000.80,40.78,22.64454,75.11711
1713513421,21.52056,48.06439,19.95,1000.78,40.52,22.72511,75.14153
1713513431,21.56329,48.04608,19.95,1000.82,40.68,22.80568,75.19035
1713513441,21.56329,48.06897,19.95,1000.71,40.58,22.80568,75.31243
1713513451,21.56329,48.00946,19.96,1000.83,40.71,22.80568,75.11711
1713513461,21.56329,48.02319,19.96,1000.80,40.48,22.80568,75.2636
1713513471,21.53391,47.98199,19.96,1000.78,40.46,22.88624,75.67865
1713513481,21.54726,48.02167,19.98,1000.78,40.55,22.72511,75.77631
1713513491,21.56329,48.02319,19.98,1000.73,40.49,22.80568,75.75189
1713513501,21.54726,48.11475,19.98,1000.81,40.48,22.80568,75.99603
1713513511,21.56329,48.10559,19.99,1000.83,40.53,22.88624,75.82513
1713513521,21.57664,48.10864,20.0,1000.79,40.46,22.96681,75.67865
1713513531,21.57664,48.05981,20.0,1000.68,40.45,22.88624,76.31342
1713513541,21.57664,48.13153,20.0,1000.71,40.40,22.96681,75.84955
1713513551,21.56329,48.12848,20.02,1000.76,40.43,22.96681,75.84955
1713513561,21.57664,48.16816,20.01,1000.67,40.45,22.88624,75.28802
1713513571,21.57664,48.13153,20.02,1000.77,40.42,22.88624,75.01945
1713513581,21.56329,48.2826,20.02,1000.76,40.51,22.80568,74.82262
1713513591,21.56329,48.25971,20.03,1000.78,40.49,22.96681,74.67612
1713513601,21.57664,48.21393,20.03,1000.64,40.62,23.04738,74.57847
1713513611,21.57664,48.16816,20.04,1000.74,40.52,22.96681,74.48081
1713513621,21.60601,48.21851,20.03,1000.78,40.52,22.80568,74.38315
1713513631,21.57664,48.21393,20.03,1000.73,40.50,22.96681,74.28549
1713513641,21.58999,48.16968,20.03,1000.65,40.55,22.88624,74.18784
1713513651,21.58999,48.17884,20.03,1000.71,40.44,22.96681,74.18784
1713513661,21.57664,48.19104,20.04,1000.74,40.42,22.96681,74.11459
1713513671,21.57664,48.1178,20.04,1000.74,40.37,22.96681,73.99252
