timestamp,c_dht,h_dht,c_bme,p_bme,h_bme
1713370327,22.00122,51.29015,19.9,996.75,44.38
1713370337,22.04395,51.28557,19.89,996.80,44.37
1713370347,22.01457,51.29168,19.89,996.82,44.38
1713370357,22.01457,51.24437,19.9,996.83,44.38
1713370367,22.00122,51.24132,19.89,996.82,44.39
1713370377,22.00122,51.31456,19.88,996.77,44.40
1713370387,22.01457,51.3283,19.88,996.81,44.42
1713370397,22.01457,51.3283,19.89,996.90,44.44
1713370407,22.00122,51.31456,19.88,996.86,44.42
1713370417,22.01457,51.38781,19.88,996.81,44.41
1713370427,22.01457,51.35118,19.87,996.85,44.45
1713370437,22.03059,51.34203,19.88,996.86,44.43
1713370447,22.00122,51.31456,19.89,996.84,44.45
1713370457,22.00122,51.33745,19.87,996.82,44.47
1713370467,22.00122,51.34966,19.87,996.87,44.47
1713370477,22.00122,51.33745,19.87,996.96,44.47
1713370487,21.98787,51.34661,19.87,996.92,44.47
1713370497,22.00122,51.38628,19.87,996.95,44.45
1713370507,21.98787,51.34661,19.86,996.90,44.50
1713370517,21.97452,51.35881,19.87,996.97,44.48
1713370527,22.00122,51.36339,19.86,996.94,44.48
1713370537,21.98787,51.3695,19.86,996.99,44.49
1713370547,22.00122,51.38628,19.86,996.99,44.52
1713370557,21.97452,51.40459,19.84,996.85,44.51
